Filename,File_ID,Spectral Centroid,Spectral Bandwidth,Energy,Zero Crossing Rate,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,LogMel_1,LogMel_2,LogMel_3,LogMel_4,LogMel_5,LogMel_6,LogMel_7,LogMel_8,LogMel_9,LogMel_10,LogMel_11,LogMel_12,LogMel_13,LogMel_14,LogMel_15,LogMel_16,LogMel_17,LogMel_18,LogMel_19,LogMel_20,LogMel_21,LogMel_22,LogMel_23,LogMel_24,LogMel_25,LogMel_26,LogMel_27,LogMel_28,LogMel_29,LogMel_30,LogMel_31,LogMel_32,LogMel_33,LogMel_34,LogMel_35,LogMel_36,LogMel_37,LogMel_38,LogMel_39,LogMel_40,LogMel_41,LogMel_42,LogMel_43,LogMel_44,LogMel_45,LogMel_46,LogMel_47,LogMel_48,LogMel_49,LogMel_50,LogMel_51,LogMel_52,LogMel_53,LogMel_54,LogMel_55,LogMel_56,LogMel_57,LogMel_58,LogMel_59,LogMel_60,LogMel_61,LogMel_62,LogMel_63,LogMel_64,LogMel_65,LogMel_66,LogMel_67,LogMel_68,LogMel_69,LogMel_70,LogMel_71,LogMel_72,LogMel_73,LogMel_74,LogMel_75,LogMel_76,LogMel_77,LogMel_78,LogMel_79,LogMel_80,LogMel_81,LogMel_82,LogMel_83,LogMel_84,LogMel_85,LogMel_86,LogMel_87,LogMel_88,LogMel_89,LogMel_90,LogMel_91,LogMel_92,LogMel_93,LogMel_94,LogMel_95,LogMel_96,LogMel_97,LogMel_98,LogMel_99,LogMel_100,LogMel_101,LogMel_102,LogMel_103,LogMel_104,LogMel_105,LogMel_106,LogMel_107,LogMel_108,LogMel_109,LogMel_110,LogMel_111,LogMel_112,LogMel_113,LogMel_114,LogMel_115,LogMel_116,LogMel_117,LogMel_118,LogMel_119,LogMel_120,LogMel_121,LogMel_122,LogMel_123,LogMel_124,LogMel_125,LogMel_126,LogMel_127,LogMel_128,SpectralContrast_1,SpectralContrast_2,SpectralContrast_3,SpectralContrast_4,SpectralContrast_5,SpectralContrast_6,SpectralContrast_7,gender
HW1_Q5_810801072_Male.mp3,810801072,1190.596659226054,860.3049268558786,0.01808202,0.10402746277242912,-359.6332,115.977516,-82.35275,-10.930631,-27.592342,-43.80621,-28.378788,-39.85578,-27.041721,-23.34855,-23.734726,-14.049829,-10.325057,-54.150677,-54.14846,-54.14427,-53.958717,-52.47943,-51.987732,-47.75889,-37.18933,-26.082104,-20.949423,-19.158396,-14.73399,-6.3649874,-4.722367,-9.813306,-11.87887,-11.478612,-10.634933,-12.808423,-13.911759,-12.390314,-12.711665,-13.9610615,-16.924126,-17.608976,-16.764534,-16.867468,-17.372906,-17.18272,-18.10685,-18.321707,-19.27075,-20.10812,-20.71707,-20.534464,-20.607126,-20.669615,-20.135702,-20.924902,-20.996088,-20.813276,-20.832518,-20.810286,-19.73084,-20.866207,-21.437357,-20.560993,-20.600471,-21.957077,-21.082087,-22.15448,-23.225487,-22.972155,-22.766695,-22.519075,-22.092005,-22.361177,-21.457281,-21.287415,-21.482277,-21.455053,-21.702831,-21.755682,-22.124098,-22.43924,-22.20966,-22.97288,-23.981363,-25.341269,-25.849363,-26.08037,-26.848196,-27.193747,-27.556982,-27.94175,-27.766817,-27.348139,-27.349657,-27.34882,-27.882553,-28.718231,-29.03129,-29.52144,-30.46262,-31.070847,-32.24527,-33.783573,-34.521362,-35.22687,-35.660778,-35.896896,-36.355103,-36.60674,-37.13326,-38.15515,-39.86427,-41.817272,-43.31548,-44.764374,-46.207973,-47.543682,-48.875973,-49.960606,-50.723877,-51.34786,-51.93047,-52.34317,-52.642986,-52.86566,-53.108162,-53.33421,-53.567642,-53.781708,-53.909035,-53.986237,-54.05853,-54.108547,-54.13646,-54.148838,-54.15147,-54.151608,-54.151608,-54.151608,-54.151608,-54.151608,-54.151608,-54.151608,-54.151608,24.698325239299812,21.847044935484575,17.482008493283544,15.427768569921948,18.416845238001468,49.790245232409966,18.596419571550143,male
HW1.Q4j.810102087_female.mp3,810102087,1171.308125881147,811.0336368585286,0.0420486,0.11283091806994819,-316.8739,124.25626,-83.46272,-7.142929,-33.984673,-55.05822,-22.382936,-39.168617,-26.126812,-15.515689,-26.684357,-13.080073,-11.383069,-51.45324,-51.457508,-51.425392,-51.175858,-50.93823,-50.006958,-41.63087,-26.867672,-17.429878,-12.665873,-10.093799,-8.295433,-9.111614,-8.503388,-6.448125,-7.122371,-4.657094,-4.995701,-8.374858,-10.044894,-12.106184,-12.49018,-12.0003395,-10.467704,-9.321591,-8.084491,-8.359402,-8.649973,-9.235532,-9.503427,-9.359775,-10.927463,-12.429334,-13.277814,-14.801324,-16.755026,-18.331524,-18.095564,-17.094019,-16.935612,-16.932785,-16.401558,-16.42783,-16.306452,-16.323038,-18.12591,-18.790108,-18.776125,-18.36292,-18.130259,-18.70847,-19.169598,-19.392399,-19.81171,-19.947088,-20.22091,-20.602863,-19.84835,-19.725069,-20.631157,-20.77734,-20.568876,-19.496325,-19.11392,-18.680248,-18.459692,-19.940323,-21.707193,-21.571865,-21.051832,-21.418646,-21.768314,-21.516813,-22.290226,-22.914944,-23.358307,-24.237677,-25.44135,-25.711746,-25.40733,-24.694082,-24.253859,-24.057585,-23.929922,-24.127855,-24.346535,-24.44479,-24.962736,-25.518656,-26.991373,-29.293852,-31.378235,-33.238216,-35.037025,-36.787853,-38.63836,-40.507507,-42.53548,-44.323334,-46.079475,-47.640728,-48.57441,-48.889606,-49.014767,-49.37331,-49.822376,-50.23441,-50.740696,-50.783005,-50.81297,-50.981487,-51.157547,-51.3321,-51.41616,-51.402348,-51.356205,-51.395348,-51.408585,-51.424442,-51.442997,-51.443424,-51.46112,-51.46197,-51.46197,-51.46197,-51.46197,-51.46197,-51.46197,27.021698691272466,18.91549219692191,19.326000037373063,16.883139482202846,18.082143812250713,44.16554445586567,24.532498407168486,female
HW1_Q3_810103262_male.mp3,810103262,962.1856913219259,654.1631783389803,0.07303271,0.0858108455812765,-359.5228,82.929085,-38.92504,-2.6160903,-18.576937,-44.97955,-29.404959,-34.357662,-25.937609,-10.701029,-10.568768,-5.4547834,-1.1855751,-45.37893,-45.37893,-45.37893,-45.36827,-45.304493,-43.598682,-38.339855,-33.967865,-33.053802,-32.467587,-28.132992,-21.779251,-14.958439,-10.031316,-8.005364,-8.927546,-9.403114,-9.996438,-11.440476,-12.46072,-13.262116,-13.227074,-14.540582,-15.255687,-16.357754,-16.454248,-15.868874,-17.279993,-19.826668,-22.402061,-25.084799,-25.20407,-25.001661,-24.610998,-24.935404,-26.35989,-27.0241,-28.067545,-28.15184,-28.278368,-27.510374,-27.67075,-27.98785,-28.619734,-29.048172,-28.453094,-27.910248,-27.539381,-27.940235,-27.50068,-27.119326,-27.674038,-27.247784,-27.01289,-27.342674,-27.688133,-27.56558,-27.239685,-27.192587,-26.974283,-26.913412,-26.833006,-26.44613,-25.978642,-26.34053,-28.21272,-30.360367,-28.526459,-27.91587,-28.659262,-29.171606,-28.808542,-29.40945,-30.172832,-30.082169,-29.548233,-29.005949,-28.698244,-28.151903,-27.35496,-27.625141,-28.154211,-28.506319,-30.15384,-32.072983,-32.815727,-34.270493,-34.857246,-34.85164,-34.92425,-35.032787,-35.62116,-36.0511,-36.960495,-38.065464,-39.12323,-40.69488,-41.696655,-43.046185,-43.876205,-44.558372,-44.883595,-45.139133,-45.252735,-45.31393,-45.329735,-45.35109,-45.363937,-45.3685,-45.368763,-45.373135,-45.376335,-45.378586,-45.37893,-45.37893,-45.37893,-45.37893,-45.37893,-45.37893,-45.37893,-45.37893,-45.37893,-45.37893,-45.37893,-45.37893,-45.37893,-45.37893,-45.37893,26.2649012613626,26.84250834173742,26.76422118217517,23.46160439637231,25.222350524815393,45.761993295455646,22.05812534015974,male
HW1_Q6_810600133_female.mp3,810600133,1394.939738239505,967.0116337532114,0.040615816,0.12773216539569676,-327.11,77.59617,-66.50955,2.6925435,-34.93133,-41.364964,-21.938086,-29.92869,-11.306432,-15.254631,-19.596922,-8.762524,-2.1148305,-46.67692,-46.67692,-46.676765,-46.657177,-46.65012,-46.613342,-45.060284,-34.6473,-26.36025,-24.794441,-23.021173,-18.489103,-17.327301,-17.221077,-16.997395,-13.074736,-9.723756,-9.220764,-11.969329,-14.528163,-16.023224,-17.43525,-18.215994,-17.662012,-15.906419,-14.224266,-14.047475,-15.61146,-17.256048,-18.362494,-18.929111,-18.88513,-18.92257,-18.165657,-18.339281,-18.543243,-19.36792,-20.783365,-21.302269,-21.551886,-22.046408,-21.873577,-21.378046,-21.140684,-22.134031,-23.107758,-23.507969,-24.53741,-25.523067,-26.050621,-26.523085,-26.571808,-26.761868,-26.04372,-25.19225,-23.836271,-22.573812,-22.362286,-22.777727,-22.899683,-22.443375,-21.992273,-21.2638,-20.925137,-21.165567,-21.666935,-21.670574,-21.859297,-22.73356,-23.455376,-23.749744,-23.580412,-23.53418,-24.123974,-24.872122,-25.593153,-25.892252,-25.613338,-25.512798,-25.494558,-25.446087,-25.501862,-25.366005,-24.789717,-24.40823,-23.982674,-23.905735,-24.261923,-25.284006,-26.5635,-27.814795,-29.023754,-30.023186,-30.849497,-32.06895,-32.870644,-33.590355,-34.2033,-34.857044,-36.361156,-37.912994,-38.991028,-40.313164,-41.37346,-42.137283,-42.817993,-43.861,-44.970757,-45.60976,-46.083183,-46.400772,-46.570602,-46.62312,-46.644604,-46.65324,-46.66803,-46.674095,-46.675602,-46.67607,-46.676895,-46.67692,-46.67692,-46.67692,-46.67692,-46.67692,-46.67692,-46.67692,-46.67692,25.07757848886124,21.766326110930766,22.791543388749165,20.759334354550184,20.601537428465107,50.721058986462054,21.332873830910334,female
HW1_Q4_159403005_male.mp3,159403005,1039.7288922524901,812.1435559491073,0.046664644,0.0828202333827924,-333.15906,112.6159,-63.77008,-12.050776,-30.151241,-51.11909,-31.620684,-41.444237,-24.601528,-18.52033,-23.999002,-10.528814,-7.4434843,-48.922615,-48.922394,-48.921417,-48.888615,-48.79405,-48.161263,-45.218834,-41.18916,-28.467945,-18.629837,-15.722189,-12.362836,-7.6064987,-3.6638482,-2.3292542,-4.5941515,-6.421214,-7.498052,-7.302749,-6.8912725,-7.803652,-10.191619,-11.647622,-10.160361,-10.155607,-11.94684,-12.463355,-12.902847,-13.721777,-14.504557,-14.805205,-16.461641,-17.829443,-17.577934,-17.781704,-18.777805,-19.478918,-18.846577,-18.877413,-19.472673,-19.492752,-19.78157,-20.132257,-20.501844,-20.92048,-21.967596,-22.559204,-23.042322,-23.342556,-23.355337,-23.238918,-23.294895,-22.757954,-22.981413,-22.096605,-21.54188,-21.359556,-20.778439,-20.74249,-21.177256,-21.901255,-22.10428,-22.560612,-22.509668,-22.19234,-22.354496,-22.685543,-22.762768,-23.526726,-24.568047,-25.154886,-25.707012,-26.444736,-27.012682,-27.46396,-28.01101,-28.816908,-29.084429,-28.929861,-28.025557,-26.860922,-26.126438,-26.193787,-27.001616,-28.396427,-29.755901,-31.11404,-32.594444,-34.101955,-35.006615,-35.550934,-35.676376,-35.365143,-34.537273,-33.615013,-33.89652,-35.99153,-39.32707,-42.830666,-45.853657,-47.72505,-48.41208,-48.58343,-48.64819,-48.73091,-48.78066,-48.773907,-48.75991,-48.81108,-48.86633,-48.9042,-48.91726,-48.918106,-48.919132,-48.922153,-48.922905,-48.92292,-48.92292,-48.92292,-48.92292,-48.92292,-48.92292,-48.92292,-48.92292,-48.92292,-48.92292,-48.92292,-48.92292,22.753145689950372,26.612855050121755,20.60226192276267,17.24941383969578,19.077053672788594,50.79044621075824,19.15066406809172,male
HW1_Q1_810102345_male.mp3,810102345,1145.204390263629,830.4405567090353,0.04724692,0.11325676322773562,-326.7467,103.773384,-54.55419,-6.5919156,-32.26783,-54.657646,-23.211945,-36.58117,-30.434408,-9.862458,-16.12648,-11.490309,-3.7186205,-46.67472,-46.67461,-46.6743,-46.67202,-46.634903,-46.1785,-42.065514,-32.016117,-26.22443,-22.76469,-17.579733,-11.635902,-8.493281,-8.521428,-8.263175,-7.4200873,-7.6350513,-8.05592,-8.005526,-6.9914923,-7.3521614,-8.267439,-8.159605,-7.8410015,-8.174583,-10.350819,-12.818666,-14.025128,-15.10845,-16.18799,-15.543807,-15.639095,-16.59505,-17.653217,-17.567331,-16.930046,-17.580872,-19.429733,-20.920847,-22.473341,-22.6103,-21.96799,-21.677237,-21.08092,-21.309214,-22.277597,-22.348803,-22.36191,-23.646835,-24.12219,-22.64567,-22.670391,-23.349546,-23.72139,-23.80827,-22.911139,-22.987259,-23.075144,-23.214722,-23.40145,-24.536972,-26.591259,-25.880846,-25.925213,-25.444813,-24.520115,-24.771866,-24.507849,-24.708273,-25.79466,-26.59221,-27.964718,-28.56286,-27.717693,-27.626945,-27.493233,-26.13646,-23.425491,-22.306055,-21.597538,-21.573837,-22.69963,-23.829834,-25.570108,-27.71809,-28.234604,-29.271196,-29.179262,-29.403406,-30.173044,-30.601606,-31.363703,-32.277157,-35.487617,-38.29497,-39.575535,-40.82097,-42.3004,-43.46542,-44.542473,-45.084496,-45.40568,-45.696796,-45.82622,-45.972626,-46.09706,-46.241703,-46.352245,-46.38481,-46.44371,-46.499077,-46.581566,-46.61746,-46.636715,-46.652096,-46.663628,-46.667694,-46.67112,-46.67408,-46.674446,-46.674637,-46.67472,-46.67472,-46.67472,-46.67472,-46.67472,-46.67472,-46.67472,26.400954107982994,22.027559615838037,20.011662182649225,18.135042103378165,18.08133294491498,48.94874410567357,20.226824137552985,male
HW1_Q2_810102147_male.mp3,810102147,973.1338875551626,770.9284781521848,0.018316755,0.08552740776439775,-434.60294,110.52076,-26.776838,-14.634578,-26.096231,-46.511482,-32.689533,-22.004671,-27.891445,-31.16218,-12.014128,-9.69811,-14.402687,-53.737423,-53.737423,-53.73717,-52.4955,-46.81451,-47.41724,-47.064236,-39.955734,-31.505524,-26.320444,-24.612347,-22.813425,-16.46826,-12.149425,-8.472864,-9.87414,-12.737129,-14.366102,-14.657836,-16.20905,-14.918523,-15.412465,-19.120844,-20.366219,-21.372093,-22.609259,-23.88732,-25.853107,-25.48784,-24.056013,-23.84478,-23.470003,-23.997948,-25.631514,-25.681625,-27.819157,-28.628572,-28.877026,-28.73586,-28.012878,-29.324062,-30.199745,-29.777798,-30.718447,-30.74173,-30.536053,-31.006695,-32.78704,-34.46201,-36.635677,-35.378517,-37.20608,-36.545116,-34.606216,-36.1737,-36.265198,-36.977863,-37.73769,-37.15317,-35.637573,-35.88506,-36.253483,-37.64626,-37.6526,-36.773754,-37.11796,-39.13457,-41.54267,-40.575626,-36.692604,-33.919662,-32.86049,-32.26425,-32.520603,-31.53977,-32.48282,-34.53913,-37.55202,-38.97702,-38.292427,-40.625042,-42.2527,-44.345478,-43.978237,-44.90075,-47.045006,-47.87148,-48.454235,-47.63021,-48.248676,-49.828133,-49.224827,-48.048748,-47.026936,-47.141243,-47.358013,-47.145718,-47.329678,-48.259167,-49.179237,-50.42811,-51.44563,-52.128338,-52.83684,-53.2531,-53.402225,-53.58259,-53.542667,-53.507797,-53.440575,-53.505943,-53.57696,-53.57741,-53.64776,-53.67058,-53.706116,-53.723804,-53.72129,-53.72604,-53.732742,-53.737312,-53.737423,-53.737423,-53.737423,-53.737423,-53.737423,-53.737423,-53.737423,26.62278052286588,22.225541960908803,20.904434015382513,19.78083275480963,22.391118508854674,46.9463380354837,22.314691528476157,male
HW1_Q3_810600133_female.mp3,810600133,1398.4069418077383,941.5614961760122,0.02893789,0.12618983227126002,-366.33517,89.73959,-84.19255,8.233541,-39.137375,-54.51667,-20.427526,-29.17841,-21.08837,-16.61271,-14.413896,-14.097381,-9.261321,-53.803825,-53.802418,-53.792934,-53.570118,-53.561554,-53.4099,-50.55681,-39.805683,-30.312796,-25.725613,-22.311243,-19.914646,-18.675524,-18.39598,-18.854712,-16.387302,-14.026043,-13.302877,-14.789981,-16.76212,-18.04365,-18.560167,-17.945875,-17.457586,-17.766512,-17.827763,-17.902157,-18.02273,-18.67918,-18.765287,-19.418783,-20.86895,-20.830149,-19.061293,-18.547087,-19.051783,-21.831785,-24.324682,-24.470007,-24.38522,-24.775938,-24.701653,-24.913214,-25.042784,-24.983011,-25.35215,-27.265406,-28.354952,-28.968966,-28.19155,-27.278324,-26.78444,-26.500097,-26.072767,-26.126251,-26.399729,-26.143719,-26.569715,-26.716017,-25.78668,-26.176165,-26.60943,-26.45205,-26.1322,-25.66748,-25.750841,-26.215824,-26.429401,-25.623665,-24.02548,-23.610455,-23.82192,-23.576704,-22.512676,-21.640203,-22.374903,-23.416895,-22.790455,-23.135073,-24.463049,-25.298952,-25.406973,-25.39315,-25.497068,-25.199755,-25.188793,-25.882507,-26.551836,-27.995491,-30.4328,-31.641563,-33.19541,-34.756557,-36.07743,-37.775497,-39.008442,-40.562805,-41.249645,-41.612103,-42.607582,-43.02725,-44.16033,-45.164158,-46.11776,-47.504364,-48.977024,-50.49868,-51.822704,-52.449295,-53.21861,-53.42667,-53.608887,-53.676895,-53.70003,-53.71691,-53.73424,-53.771572,-53.792274,-53.7986,-53.803295,-53.803825,-53.803825,-53.803825,-53.803825,-53.803825,-53.803825,-53.803825,-53.803825,23.742298354786357,22.29896556723372,22.049041152475173,21.0119414496476,20.51706481350269,50.777815344724225,20.423196644716505,female
HW1-Q2-2-810103226-male.mp3,810103226,1332.484571627439,948.7683216062254,0.0912461,0.12159920759782054,-265.00122,91.23479,-79.10633,1.905503,-36.936012,-28.172909,-15.459643,-62.335163,-30.836187,-14.807658,-25.122742,-15.074395,-2.448255,-44.237972,-44.237972,-44.2345,-44.189922,-43.970367,-41.64005,-38.8246,-34.515156,-27.941414,-20.13804,-14.294272,-11.191728,-6.715936,-1.3257619,2.5207114,2.230662,0.1614807,-2.2076197,-4.2950454,-3.9164279,-3.9581785,-5.3144126,-7.4564943,-11.576991,-15.112301,-15.031955,-15.347624,-14.242803,-14.181493,-16.94754,-19.123957,-18.619202,-17.00062,-16.980356,-16.21849,-15.985644,-14.811997,-15.853001,-16.861233,-15.233877,-14.086087,-12.701369,-12.478715,-12.562956,-13.78453,-14.511068,-14.214758,-14.316925,-13.459115,-13.884762,-13.509041,-13.10066,-12.45437,-11.403242,-10.593762,-10.983865,-10.138204,-11.903381,-12.308963,-12.548363,-14.058439,-14.515375,-13.215713,-14.408678,-15.8209915,-18.205936,-20.800241,-24.717865,-25.337973,-22.351778,-21.675543,-24.746655,-26.144888,-26.224556,-25.265047,-25.163233,-23.767378,-22.602142,-19.720211,-16.141903,-14.526576,-13.272407,-14.141159,-14.82635,-15.01564,-16.3422,-17.205603,-18.487741,-20.715174,-22.346119,-21.994806,-21.655094,-21.945457,-22.09225,-22.565275,-23.390083,-24.833796,-26.703703,-29.124147,-31.20067,-33.895306,-36.532646,-39.708035,-41.840103,-42.697735,-43.236904,-43.48799,-43.575756,-43.55905,-43.561665,-43.707733,-43.885136,-44.077347,-44.136887,-44.15992,-44.197334,-44.236847,-44.237644,-44.237343,-44.23671,-44.237972,-44.237972,-44.237972,-44.237972,-44.237972,-44.237972,-44.237972,-44.237972,25.277649170891706,26.721972625629824,22.790475074108553,18.71317019787541,21.394572291702566,50.65347467835609,21.585645915582294,male
HW1_Q4_810102147_male.mp3,810102147,999.6871244231322,773.2200459119308,0.011089755,0.08873013930296092,-480.57568,110.99778,-31.25827,-14.973929,-27.74807,-48.117138,-30.429111,-23.379065,-28.810131,-28.27008,-13.16834,-10.520139,-13.107188,-58.278355,-58.276962,-58.273113,-57.22235,-52.17023,-53.40224,-52.40082,-44.541523,-35.210785,-30.276892,-29.157255,-27.703266,-20.914852,-16.55316,-13.726144,-15.361084,-17.379984,-18.257206,-18.568241,-19.639725,-19.237228,-20.538332,-23.705975,-23.895908,-25.511803,-26.847612,-27.89323,-29.099665,-27.986052,-27.180922,-27.561876,-27.461966,-27.667849,-29.789238,-30.183935,-31.506088,-32.4969,-32.83967,-32.602222,-31.856665,-32.812828,-33.2803,-32.793575,-33.91369,-34.36994,-33.925007,-34.469208,-36.24374,-38.237595,-40.14198,-39.911003,-41.334373,-40.636658,-38.682194,-39.94176,-40.278,-40.58473,-40.459023,-39.45029,-38.99383,-40.198643,-40.323914,-40.827774,-40.493446,-39.70316,-40.9034,-42.66007,-45.38382,-46.23993,-42.21215,-39.519016,-38.38141,-36.598366,-36.072968,-35.679882,-36.73086,-38.79955,-41.006508,-41.43922,-40.320114,-41.558933,-43.209686,-47.068325,-49.115623,-51.188282,-51.1551,-51.109177,-49.931355,-49.979046,-50.66208,-52.63404,-52.586063,-51.298744,-50.166374,-50.68054,-52.354813,-52.166706,-52.52624,-53.43625,-54.410378,-55.593204,-56.577225,-57.310387,-57.708084,-57.84328,-58.107815,-58.10405,-57.980797,-57.840042,-57.8885,-57.94255,-57.966652,-58.041687,-58.110405,-58.177486,-58.215866,-58.260387,-58.272625,-58.27571,-58.27821,-58.278667,-58.278667,-58.278667,-58.278667,-58.278667,-58.278667,-58.278667,-58.278667,25.837596023387114,22.04404403461184,20.63686277936591,20.170283702382687,23.264180272538034,48.53255737693156,20.56798011277006,male
